wordpress_url;github_pages_url
https://graiphic.io/documentation/all-inputs-layers/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/get-set/get-deep-learning/shape/all-inputs-layers/README.md
https://graiphic.io/documentation/all-inputs/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/get-set/get-deep-learning/shape/layer-shape-get/all-inputs/README.md
https://graiphic.io/documentation/all-model/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/get-set/set-deep-learning/weight-set-dl/write/all-model/README.md
https://graiphic.io/documentation/all-name-array/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/get-set/set-deep-learning/weight-set-dl/write/all-name-array/README.md
https://graiphic.io/documentation/all-outputs-layers/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/get-set/get-deep-learning/shape/all-outputs-layers/README.md
https://graiphic.io/documentation/all-outputs/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/get-set/get-deep-learning/shape/layer-shape-get/all-outputs/README.md
https://graiphic.io/documentation/all-random/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/get-set/set-deep-learning/weight-set-dl/write/all-random/README.md
https://graiphic.io/documentation/all/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/get-set/get-deep-learning/label/all/README.md
https://graiphic.io/documentation/alpha-dropout-add-to-graph/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/layers/alpha-dropout-add-to-graph/README.md
https://graiphic.io/documentation/amin/;https://graiphic.github.io/Graiphic-documentation/#/cuda/cublas-cuda/amin/README.md
https://graiphic.io/documentation/and-2/;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/functions/operators/and-2/README.md
https://graiphic.io/documentation/argmax/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/mono_input/mono_output/argmax/README.md
https://graiphic.io/documentation/argmin/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/mono_input/mono_output/argmin/README.md
https://graiphic.io/documentation/asin/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/mono_input/mono_output/asin/README.md
https://graiphic.io/documentation/asinh/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/mono_input/mono_output/asinh/README.md
https://graiphic.io/documentation/asynchronous-fit-fifo-close/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/fifo/asynchronous-fit-fifo-close/README.md
https://graiphic.io/documentation/asynchronous-fit-fifo-exec-fixed-learning-rate-by-index/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/fifo/fixed-learning-rate-fifo-dl/asynchronous-fit-fifo-exec-fixed-learning-rate-by-index/README.md
https://graiphic.io/documentation/asynchronous-fit-fifo-exec-fixed-learning-rate-by-name/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/fifo/fixed-learning-rate-fifo-dl/asynchronous-fit-fifo-exec-fixed-learning-rate-by-name/README.md
https://graiphic.io/documentation/asynchronous-fit-fifo-exec-learning-rate-scheduler-by-index/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/fifo/learning-rate-scheduler-fifo-dl/asynchronous-fit-fifo-exec-learning-rate-scheduler-by-index/README.md
https://graiphic.io/documentation/asynchronous-fit-fifo-exec-learning-rate-scheduler-by-name/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/fifo/learning-rate-scheduler-fifo-dl/asynchronous-fit-fifo-exec-learning-rate-scheduler-by-name/README.md
https://graiphic.io/documentation/asynchronous-fit-fifo-init/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/fifo/asynchronous-fit-fifo-init/README.md
https://graiphic.io/documentation/asynchronous-fit-fifo-read/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/fifo/asynchronous-fit-fifo-read/README.md
https://graiphic.io/documentation/asynchronous-fit-streaming-exec-fixed-learning-rate-by-index/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/streaming/fixed-learning-rate-streaming-dl/asynchronous-fit-streaming-exec-fixed-learning-rate-by-index/README.md
https://graiphic.io/documentation/asynchronous-fit-streaming-exec-fixed-learning-rate-by-name/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/streaming/fixed-learning-rate-streaming-dl/asynchronous-fit-streaming-exec-fixed-learning-rate-by-name/README.md
https://graiphic.io/documentation/asynchronous-fit-streaming-exec-learning-rate-scheduler-by-index/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/streaming/learning-rate-scheduler-streaming-dl/asynchronous-fit-streaming-exec-learning-rate-scheduler-by-index/README.md
https://graiphic.io/documentation/asynchronous-fit-streaming-exec-learning-rate-scheduler-by-name/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/asynchronous_fit/streaming/learning-rate-scheduler-streaming-dl/asynchronous-fit-streaming-exec-learning-rate-scheduler-by-name/README.md
https://graiphic.io/documentation/atan/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/mono_input/mono_output/atan/README.md
https://graiphic.io/documentation/atanh/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/mono_input/mono_output/atanh/README.md
https://graiphic.io/documentation/attention-2/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/add-weight/deep-learning-input-name/attention-2/README.md
https://graiphic.io/documentation/attention-3/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/format-weight/attention-3/README.md
https://graiphic.io/documentation/attention-4/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/multi-input-dl/multi-output/attention-4/README.md
https://graiphic.io/documentation/attention-add-to-graph/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/layers/attention-add-to-graph/README.md
https://graiphic.io/documentation/attention/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/advanced/add-weight/deep-learning-input-index/attention/README.md
https://graiphic.io/documentation/attnlstm/;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/architecture/nodes/nodes/multi-input-dl/multi-output/attnlstm/README.md
